month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
2,20169,L2,L2,Lynden Air Cargo Airlines,1,88275,0,0,0,0,88275,119324,9368,128692,209784,0,0,0,0,209784,293751,22492,316243,2019
2,20151,M6,M6,Amerijet International,2,0,0,0,1273169,1273169,1273169,494687,1368318,1863005,0,0,0,2717366,2717366,2717366,1055826,2920446,3976272,2019
2,20398,MQ,MQ,Envoy Air,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,2,0,0,0,0,0,0,45744,258810,304554,0,0,0,0,0,0,160755,2701263,2862018,2019
2,20108,NC,NC,Northern Air Cargo Inc.,1,255741,0,0,0,0,255741,282780,0,282780,550182,0,0,0,0,550182,602185,0,602185,2019
2,20416,NK,NK,Spirit Air Lines,3,29560076,0,0,4030920,4030920,33590996,29560076,4030920,33590996,62838607,0,0,8568901,8568901,71407508,62838607,8568901,71407508,2019
2,20397,OH,OH,PSA Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,20304,OO,OO,SkyWest Airlines Inc.,3,7503491,0,0,0,0,7503491,7503491,0,7503491,17050445,0,0,0,0,17050445,17050445,0,17050445,2019
2,20177,PFQ,PFQ,Asia Pacific,1,0,0,0,0,0,0,0,355981,355981,0,0,0,0,0,0,0,735012,735012,2019
2,20100,PO,PO,Polar Air Cargo Airways,3,2080351,470893,9936241,0,10407134,12487485,2080351,10407134,12487485,4008576,1039859,17494774,0,18534633,22543209,4008576,18534633,22543209,2019
2,19687,QX,QX,Horizon Air,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,3730042,0,0,1725278,1725278,5455320,4229974,1836456,6066430,8041181,0,0,4024835,4024835,12066016,9890673,4266112,14156785,2019
2,20447,U7,U7,USA Jet Airlines Inc.,2,0,0,0,0,0,0,482752,32144,514896,0,0,0,0,0,0,952822,134969,1087791,2019
2,19977,UA,UA,United Air Lines Inc.,3,119312158,47970572,47881165,28457222,124308959,243621117,120087215,124665157,244752372,229838806,91564050,91129457,58249915,240943422,470782228,231327828,241611991,472939819,2019
2,20195,WI,WI,Sky Lease Cargo,2,0,0,0,0,0,0,0,982250,982250,0,0,0,0,0,0,0,2064254,2064254,2019
2,20310,WL,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0,0,0,0,0,0,26298,0,26298,0,0,0,0,0,0,69192,0,69192,2019
2,20377,X9,X9,Omni Air International LLC,2,0,0,0,0,0,0,370322,3235578,3605900,0,0,0,0,0,0,824611,8179604,9004215,2019
2,20207,XP,XP,XTRA Airways,1,0,0,0,0,0,0,2851,0,2851,0,0,0,0,0,0,9832,0,9832,2019
2,20378,YV,YV,Mesa Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,20452,YX,YX,Republic Airline,3,41318,0,0,0,0,41318,41318,0,41318,85698,0,0,0,0,85698,85698,0,85698,2019
2,19393,WN,WN,Southwest Airlines Co.,3,146808596,0,0,1759751,1759751,148568347,146910807,1759751,148670558,289139878,0,0,4222874,4222874,293362752,289336674,4222874,293559548,2019
3,21161,09Q,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,0,0,0,0,0,0,796100,626848,1422948,0,0,0,0,0,0,2721022,1852717,4573739,2019
3,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,21492,1BQ,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,0,0,0,0,0,0,7775,19521,27296,0,0,0,0,0,0,17961,45093,63054,2019
3,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,21712,2HQ,2HQ,Elite Airways LLC,1,72228,0,0,0,0,72228,380854,0,380854,197885,0,0,0,0,197885,1466979,0,1466979,2019
3,21974,3EQ,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,313346,0,0,0,0,313346,375331,0,375331,901770,0,0,0,0,901770,1080156,0,1080156,2019
3,19917,5X,5X,United Parcel Service,3,39076000,11813000,16555000,2772000,31140000,70216000,39076000,31140000,70216000,78171000,23391000,32977000,5885000,62253000,140424000,78171000,62253000,140424000,2019
3,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,15305509,35370667,50676176,0,0,0,0,0,0,33606169,80421617,114027786,2019
3,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,9158,693883,703041,0,0,0,0,0,0,26141,1602941,1629082,2019
3,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20190,9S,9S,Southern Air Inc.,2,1132125,2270891,4202599,11610,6485100,7617225,1132125,6485100,7617225,2452661,5438549,9316333,23597,14778479,17231140,2452661,14778479,17231140,2019
3,19805,AA,AA,American Airlines Inc.,3,193300520,39602165,18989484,49281517,107873166,301173686,193844696,108126311,301971007,377335558,78539440,37331130,100988984,216859554,594195112,378410499,217383476,595793975,2019
3,20453,ABX,ABX,ABX Air Inc,2,134567,0,0,0,0,134567,134567,0,134567,0,0,0,0,0,0,0,0,0,2019
3,19930,AS,AS,Alaska Airlines Inc.,3,59205964,0,0,1342907,1342907,60548871,59266999,1342907,60609906,131021319,0,0,3487341,3487341,134508660,131141759,3487341,134629100,2019
3,20409,B6,B6,JetBlue Airways,3,60110558,0,0,16281212,16281212,76391770,60118439,16281212,76399651,128192313,0,0,34721459,34721459,162913772,128209025,34721459,162930484,2019
3,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,19790,DL,DL,Delta Air Lines Inc.,3,187116451,51208157,29039222,29626719,109874098,296990549,189695114,110256891,299952005,379215596,103779928,58851724,60042363,222674015,601889611,385807332,223449795,609257127,2019
3,20366,EV,EV,ExpressJet Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20436,F9,F9,Frontier Airlines Inc.,3,19844056,0,0,2296146,2296146,22140202,19844056,2296146,22140202,38296243,0,0,4598255,4598255,42894498,38296243,4598255,42894498,2019
3,20107,FX,FX,Federal Express Corporation,3,59597384,14946076,21935646,1954871,38836593,98433977,61495565,39837097,101332662,117707000,29910000,43924000,4462000,78296000,196003000,121522000,80634514,202156514,2019
3,20368,G4,G4,Allegiant Air,3,19112504,0,0,0,0,19112504,19457496,241511,19699007,42155397,0,0,0,0,42155397,42946254,573890,43520144,2019
3,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0,0,0,0,0,0,271265,118131,389396,0,0,0,0,0,0,707757,328423,1036180,2019
3,20402,GL,GL,Miami Air International,2,0,0,0,0,0,0,535031,409667,944698,0,0,0,0,0,0,1510093,1156258,2666351,2019
3,19690,HA,HA,Hawaiian Airlines Inc.,3,15074904,0,6868252,0,6868252,21943156,15074904,6868252,21943156,29926149,0,13490935,0,13490935,43417084,29926149,13490935,43417084,2019
3,20370,KAQ,KAQ,Kalitta Air LLC,2,0,0,0,0,0,0,2850738,4086355,6937093,0,0,0,0,0,0,6114511,10033932,16148443,2019
3,21629,KD,KD,Western Global,2,0,0,0,0,0,0,1757258,1498463,3255721,0,0,0,0,0,0,3799780,1891764,5691544,2019
3,21634,KH,KH,Aloha Air Cargo,2,388491,0,0,0,0,388491,388491,0,388491,770139,0,0,0,0,770139,770139,0,770139,2019
3,20372,KLQ,KLQ,Kalitta Charters II,1,0,0,0,0,0,0,353642,5761,359403,0,0,0,0,0,0,895857,14948,910805,2019
3,20169,L2,L2,Lynden Air Cargo Airlines,1,101751,0,0,0,0,101751,186550,0,186550,249880,0,0,0,0,249880,487617,0,487617,2019
3,20151,M6,M6,Amerijet International,2,0,0,0,1542592,1542592,1542592,571030,1757801,2328831,0,0,0,3380082,3380082,3380082,1251224,3851642,5102866,2019
3,20398,MQ,MQ,Envoy Air,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,2,0,0,0,0,0,0,108920,1025984,1134904,0,0,0,0,0,0,413110,3086189,3499299,2019
3,20108,NC,NC,Northern Air Cargo Inc.,1,279333,0,0,0,0,279333,328645,0,328645,613337,0,0,0,0,613337,723951,0,723951,2019
3,20416,NK,NK,Spirit Air Lines,3,35893084,0,0,4481589,4481589,40374673,35893084,4481589,40374673,77330846,0,0,9655482,9655482,86986328,77330846,9655482,86986328,2019
3,20397,OH,OH,PSA Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20304,OO,OO,SkyWest Airlines Inc.,3,8558824,0,0,0,0,8558824,8558824,0,8558824,20654129,0,0,0,0,20654129,20654129,0,20654129,2019
3,20177,PFQ,PFQ,Asia Pacific,1,0,0,0,0,0,0,0,368456,368456,0,0,0,0,0,0,0,856040,856040,2019
3,20100,PO,PO,Polar Air Cargo Airways,3,2855050,746847,12632848,0,13379695,16234745,2855050,13379695,16234745,5715144,1638605,23950550,0,25589155,31304299,5715144,25589155,31304299,2019
3,19687,QX,QX,Horizon Air,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,4298659,0,0,2346265,2346265,6644924,5031559,2401549,7433108,9450123,0,0,5577475,5577475,15027598,12628918,5712762,18341680,2019
3,20447,U7,U7,USA Jet Airlines Inc.,2,0,0,0,0,0,0,740889,45376,786265,0,0,0,0,0,0,1496040,157033,1653073,2019
3,19977,UA,UA,United Air Lines Inc.,3,147713026,59512296,55608646,34000681,149121623,296834649,148464310,149383772,297848082,293660063,118095979,111813272,72117501,302026752,595686815,295178703,302550240,597728943,2019
3,20195,WI,WI,Sky Lease Cargo,2,0,0,0,0,0,0,0,1343397,1343397,0,0,0,0,0,0,0,2932536,2932536,2019
3,20310,WL,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0,0,0,0,0,0,54955,4135,59090,0,0,0,0,0,0,124385,9359,133744,2019
3,20377,X9,X9,Omni Air International LLC,2,0,0,0,0,0,0,546781,3383937,3930718,0,0,0,0,0,0,1419862,6522442,7942304,2019
3,20207,XP,XP,XTRA Airways,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20378,YV,YV,Mesa Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,20452,YX,YX,Republic Airline,3,13935,0,0,0,0,13935,13935,0,13935,29768,0,0,0,0,29768,29768,0,29768,2019
3,19393,WN,WN,Southwest Airlines Co.,3,177681157,0,0,2488121,2488121,180169278,177789535,2488121,180277656,352911927,0,0,6073530,6073530,358985457,353137046,6073530,359210576,2019
4,21161,09Q,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,0,0,0,0,0,0,438847,573413,1012260,0,0,0,0,0,0,1519482,1110701,2630183,2019
4,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,21492,1BQ,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,0,0,0,0,0,0,1458,33138,34596,0,0,0,0,0,0,7463,80526,87989,2019
4,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,21712,2HQ,2HQ,Elite Airways LLC,1,108171,0,0,0,0,108171,257621,0,257621,292609,0,0,0,0,292609,890987,0,890987,2019
4,21974,3EQ,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,293620,0,0,0,0,293620,333350,0,333350,821935,0,0,0,0,821935,933152,0,933152,2019
4,19917,5X,5X,United Parcel Service,3,40908000,11964000,16915000,3034000,31913000,72821000,40908000,31913000,72821000,84149000,23994000,34569000,6530000,65093000,149242000,84149000,65093000,149242000,2019
4,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,15865672,34294456,50160128,0,0,0,0,0,0,35939769,74764973,110704742,2019
4,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,313624,782826,1096450,0,0,0,0,0,0,38574,2020064,2058638,2019
4,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,20190,9S,9S,Southern Air Inc.,2,992362,2232567,4241516,0,6474083,7466445,992362,6474083,7466445,2221720,5212881,9035414,0,14248295,16470015,2221720,14248295,16470015,2019
4,19805,AA,AA,American Airlines Inc.,3,180184898,49277957,18132384,42916293,110326634,290511532,180567823,110440799,291008622,362560543,99573979,36677163,90155938,226407080,588967623,363320993,226648425,589969418,2019
4,20453,ABX,ABX,ABX Air Inc,2,194952,0,0,0,0,194952,194952,0,194952,0,0,0,0,0,0,0,0,0,2019
4,19930,AS,AS,Alaska Airlines Inc.,3,58372355,0,0,1293697,1293697,59666052,58432767,1293697,59726464,133673299,0,0,3411283,3411283,137084582,133797164,3411283,137208447,2019
4,20409,B6,B6,JetBlue Airways,3,59527739,0,0,15649373,15649373,75177112,59527739,15649373,75177112,128724788,0,0,33840732,33840732,162565520,128724788,33840732,162565520,2019
4,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
4,19790,DL,DL,Delta Air Lines Inc.,3,178154335,62537834,29643566,23576826,115758226,293912561,180070679,116040467,296111146,359449469,126178189,59809739,47569302,233557230,593006699,364498097,234126688,598624785,2019
4,20366,EV,EV,ExpressJet Airlines LLC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
